customer_id,name,email,mobile,address,created_at,dob,sex,education_level,relationship,occupation,hobbies,aadhar_number,pan_number,account_number,ifsc_code,vehicle_model,vehicle_make,vehicle_type,insurance_city,insurance_state,policy_status,claim_type,claim_status,incident_city,incident_location,incident_time,incident_date,police_report,vehicles_involved,witnesses,claim_severity,vehicle_amount,property_amount,injury_amount,total_amount,fraudPrediction,fraudReason,fraud_probability,idv,ncb,policy_annual_premium,policy_csl,total_insurance_amount,umbrella_limit,year,addons
CUS-A1F2-B7C9-4E5D,Arnav Dayal,tsrinivasan@yahoo.com,9382421948,"57/815, Dugar Marg Suryapet 784080",2020-10-16T18:51:15,03-04-2003,Female,Postgraduate,Married,Self-employed,Natus voluptatum.,787752000000,981048000000,326857000000,UUUU01695,Venue,Tata,Sedan,Bangalore,Karnataka,PENDING,Theft,Pending,Chennai,MG Road,20:20,01-01-2025,Yes,1,3,Major Damage,47945.06,1410.74,8715.16,28622.53,1,"Multiple inconsistencies in claim documentation",0.85,250000,20,12000,1000000,1500000,2000000,2022,"[""Zero Depreciation"", ""Engine Protection""]"
CUS-3C2E-91AB-8F67,Nirvaan Sethi,chandranjiya@gmail.com,2871158714,"89/47, Raju Zila, Ratlam 423209",2022-03-18T23:11:47,15-09-1986,Male,High School,Divorced,Self-employed,Atque commodi.,857892000000,113627000000,373155000000,YYYY09538,Swift,Tata,SUV,Ahmedabad,Tamil Nadu,REJECTED,Single Vehicle Collision,Pending,Chandigarh,MG Road,02:32,26-01-2025,No,1,1,Major Damage,8095.44,358.17,9517.61,38784.93,1,"Suspicious timing and location discrepancies",0.92,280000,15,15000,1200000,1800000,2500000,2021,"[""Roadside Assistance"", ""Personal Accident Cover""]"
CUS-4DF8-7B0C-91A2,Rati Thakkar,elakshi33@hotmail.com,9477515917,"41/352, Kala Path Salem-309891",2020-03-23T22:39:26,30-09-1962,Female,Postgraduate,Single,Self-employed,Tempora eaque sequi.,19163035325,72820524655,430044000000,DDDD08170,Swift,KIA,SUV,Bangalore,Punjab,APPROVED,Single Vehicle Collision,Pending,Kolkata,Linking Road,15:24,17-03-2025,No,3,2,Major Damage,24880.19,2753.81,7386.01,41697.96,1,"Unusually high claim amount for damage reported",0.78,320000,25,18000,1500000,2000000,3000000,2023,"[""Zero Depreciation"", ""Engine Protection"", ""Roadside Assistance""]"
CUS-BE03-18D4-5E60,Armaan Raman,kabirsekhon@khatri.com,8691413145,"16/34, Zachariah Path, Jehanabad-302258",2022-02-17T20:36:10,03-04-1962,Female,High School,Single,Employed,Saepe numquam vel.,142112000000,55068146734,488444000000,AAAA04182,Verna,Toyota,Sedan,Bangalore,Gujarat,APPROVED,Theft,Pending,Ahmedabad,Camac Street,11:50,02-04-2025,Yes,1,2,Minor Damage,42408.65,4121.49,2638.89,11881.71,1,"Previous history of suspicious claims",0.88,220000,10,13500,900000,1200000,1800000,2020,"[""Personal Accident Cover""]"
CUS-F7A9-44C8-8F00,Nehmat Gokhale,indrans80@yahoo.com,5084237594,61 Rajan Nagar Thanjavur-337696,2020-04-08T00:12:05,26-08-1981,Male,Postgraduate,Divorced,Unemployed,Voluptates.,928739000000,718654000000,346154000000,NNNN02286,Verna,Mahindra,Sedan,Chandigarh,West Bengal,REJECTED,Theft,Pending,Mumbai,FC Road,19:43,10-01-2025,Yes,1,0,Major Damage,46502.56,2427.86,6510.23,45658.57,1,"Missing police report details",0.95,260000,30,16000,1100000,1600000,2200000,2021,"[""Consumables Cover""]"
CUS-8BB7-4D42-A1C3,Alia Lalla,waglearmaan@yahoo.com,4706381206,"08/913, Ramanathan Zila Barasat-217610",2022-05-03T12:08:54,06-02-1985,Male,Postgraduate,Single,Employed,Cum facere deleniti.,318754000000,792458000000,711990000000,QQQQ04580,Baleno,Maruti,SUV,Ahmedabad,Punjab,APPROVED,Theft,Pending,Ahmedabad,MG Road,02:41,09-03-2025,No,3,1,Minor Damage,20590.95,5743.63,8059.41,28882.93,1,"Conflicting witness statements",0.82,290000,20,14500,1300000,1700000,2400000,2022,"[]"
CUS-2A6E-9B57-2E4C,Arnav Bahri,ivana55@vala.org,7658236940,"H.No. 15 Badami, Gopalpur 294568",2021-02-06T18:43:44,30-03-1974,Female,Postgraduate,Divorced,Employed,Cum perferendis.,395194000000,227276000000,710800000000,BBBB04769,Swift,Toyota,SUV,Kolkata,Maharashtra,REJECTED,Multiple Vehicle Collision,Pending,Ahmedabad,MG Road,14:28,01-03-2025,Yes,3,0,Minor Damage,13302.86,5250.87,2123.45,20043.37,1,"Inconsistent damage reports",0.76,240000,15,13000,950000,1400000,1900000,2021,"[]"
CUS-D9F4-A3B2-15ED,Romil Jaggi,zeeshan11@hotmail.com,7551717604,"H.No. 133, Hans Nagar, Navi Mumbai-884779",2021-11-05T23:35:54,24-01-1983,Female,Graduate,Married,Unemployed,Blanditiis maxime.,739557000000,455118000000,746396000000,IIII03786,Creta,KIA,Sedan,Mumbai,Punjab,REJECTED,Theft,Pending,Kolkata,FC Road,04:23,02-02-2025,No,3,1,Minor Damage,35069.37,7360.37,3224.01,32882.85,1,"Delayed claim filing with no explanation",0.89,310000,25,17500,1400000,1900000,2800000,2023,"[]"
CUS-619E-F43A-71B6,Rati Atwal,fatehkothari@yahoo.com,3039213765,"66/87, Thaman Path, Panchkula-893055",2022-09-26T21:00:11,09-09-1956,Male,Graduate,Single,Unemployed,Qui dignissimos.,752879000000,970622000000,846166000000,TTTT01384,Venue,Hyundai,SUV,Kolkata,Tamil Nadu,REJECTED,Theft,Pending,Chandigarh,Linking Road,12:46,31-01-2025,Yes,3,1,Major Damage,5672.62,8598.35,8882.2,42629.23,1,"Multiple claims in short period",0.91,270000,20,15500,1150000,1650000,2300000,2022,"[]"
CUS-33F8-5564-43AC,Chirag Sura,balimamooty@bahri.com,5227586880,489 Tella Marg Munger 002489,2022-03-01T13:52:05,30-11-1976,Female,College,Single,Unemployed,At possimus fuga.,554508000000,215153000000,586834000000,YYYY06739,Venue,Hyundai,SUV,Chennai,Gujarat,PENDING,Theft,Pending,Delhi,Linking Road,13:17,21-03-2025,Yes,1,2,Minor Damage,15075.33,3151.6,3759.27,25144.23,1,"Suspicious vehicle location",0.83,230000,15,14000,1050000,1450000,2100000,2021,"[]"
